report_family,evidence_class,environment_or_severity,contrast_name,left,right,metric,n_pairs,raw_paired_t_p,report_holm_paired_t_p,raw_wilcoxon_p,report_holm_wilcoxon_p,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,wins,losses,ties,source_file,source_row,source_kind,principal_planned,primary_confirmatory,registry_source_id,global_holm_paired_t_p,global_holm_wilcoxon_p,global_sensitivity_scope
adaptive_gate_compact_validation.planned,confirmatory,CliffWalking-adaptive,fuzzy_vs_count,fuzzy_support_adaptive,count_gated_tau_20,return_auc,30,0.091822796965636,0.6427595787594524,0.2610541895796574,1.0,91.55833333333334,0.0,-1.2836458333333332,197.8186458333333,0.3183364968633972,0.2857142857142857,11,9,10,results/adaptive_gate_compact_validation/planned_contrasts.csv,2,planned,True,True,adaptive_gate_planned,1.0,1.0,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,CliffWalking-adaptive,fuzzy_vs_dqn,fuzzy_support_adaptive,validated_dqn,return_auc,30,0.0265010530882684,0.2385094777944159,1.612417615779427e-05,0.0001451175854201,924.9833333333332,60.875,276.64958333333334,1763.4333333333334,0.4268357048669964,0.8881720430107527,29,1,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,8,planned,True,True,adaptive_gate_planned,1.0,0.0009029538648364792,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,CliffWalking-adaptive,fuzzy_vs_support_abstain,fuzzy_support_adaptive,support_abstain_tau_20,return_auc,30,0.8055281863184154,1.0,0.6190845551146489,1.0,12.529861111111108,-0.5,-81.65237847222221,113.0768923611111,0.0453627199360457,-0.1111111111111111,11,15,4,results/adaptive_gate_compact_validation/planned_contrasts.csv,5,planned,True,True,adaptive_gate_planned,1.0,1.0,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,CliffWalking-adaptive,fuzzy_vs_tabular,fuzzy_support_adaptive,tabular,return_auc,30,0.1532778276685717,0.9196669660114304,0.1646865909014587,1.0,74.68458333333334,0.0,-21.60147916666667,174.98691666666667,0.2677418097043774,0.3631578947368421,12,7,11,results/adaptive_gate_compact_validation/planned_contrasts.csv,11,planned,True,True,adaptive_gate_planned,1.0,1.0,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,FourRooms-9-support-shift-adaptive,fuzzy_vs_count,fuzzy_support_adaptive,count_gated_tau_20,return_auc,30,0.9885363721373742,1.0,0.871207794174552,1.0,0.0004477777777776,0.0135833333333335,-0.0588848333333334,0.0578132499999999,0.0026459418412996,0.0365591397849462,16,14,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,3,planned,True,True,adaptive_gate_planned,1.0,1.0,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,FourRooms-9-support-shift-adaptive,fuzzy_vs_dqn,fuzzy_support_adaptive,validated_dqn,return_auc,30,0.9882736346652444,1.0,0.935398668050766,1.0,-0.0004255555555556,-0.0050666666666667,-0.0545673888888888,0.055483472222222,-0.0027065893233999,-0.0193548387096774,15,15,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,9,planned,True,True,adaptive_gate_planned,1.0,1.0,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,FourRooms-9-support-shift-adaptive,fuzzy_vs_support_abstain,fuzzy_support_adaptive,support_abstain_tau_20,return_auc,30,1.0063919272468547e-27,1.2076703126962258e-26,1.862645149230957e-09,2.2351741790771484e-08,-1.1957811111111107,-1.1791666666666665,-1.24965575,-1.143570083333333,-7.789902286238904,-1.0,0,30,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,6,planned,True,True,adaptive_gate_planned,7.246021876177354e-26,1.471489667892456e-07,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,FourRooms-9-support-shift-adaptive,fuzzy_vs_tabular,fuzzy_support_adaptive,tabular,return_auc,30,1.0360071913763436e-26,1.139607910513978e-25,1.862645149230957e-09,2.2351741790771484e-08,-1.1946499999999998,-1.2027833333333335,-1.2517749166666667,-1.1352284999999998,-7.178446431937617,-1.0,0,30,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,12,planned,True,True,adaptive_gate_planned,7.355651058772039e-25,1.471489667892456e-07,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,FrozenLake-4x4-slippery-adaptive,fuzzy_vs_count,fuzzy_support_adaptive,count_gated_tau_20,return_auc,30,0.2889204704782506,1.0,0.3184394138009201,1.0,-0.0231944444444444,-0.01875,-0.0645868055555555,0.0168055555555555,-0.1972310917509636,-0.2086021505376344,14,16,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,4,planned,True,True,adaptive_gate_planned,1.0,1.0,all_registry_rows_explicitly_marked_primary_confirmatory
adaptive_gate_compact_validation.planned,confirmatory,FrozenLake-4x4-slippery-adaptive,fuzzy_vs_dqn,fuzzy_support_adaptive,validated_dqn,return_auc,30,1.1203008582157726e-12,1.1203008582157726e-11,1.733306644199106e-06,1.733306644199106e-05,0.2912499999999999,0.31875,0.2437465277777777,0.3383333333333332,2.1718066098773328,1.0,30,0,0,results/adaptive_gate_compact_validation/planned_contrasts.csv,10,planned,True,True,adaptive_gate_planned,7.169925492580945e-11,0.00010386758369518371,all_registry_rows_explicitly_marked_primary_confirmatory
