agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gated_tau_20,return_auc,4,3.5,3.5,1.0,6.0
dqn,return_auc,4,4.0,4.0,3.0,5.0
fixed_hybrid,return_auc,4,3.5,3.5,2.0,5.0
random,return_auc,4,3.75,4.0,1.0,6.0
reliability_gated,return_auc,4,4.25,4.0,4.0,5.0
tabular,return_auc,4,2.0,2.0,1.0,3.0
count_gated_tau_20,success_rate_auc,4,2.5,2.0,1.0,5.0
dqn,success_rate_auc,4,5.25,5.5,4.0,6.0
fixed_hybrid,success_rate_auc,4,3.5,3.0,3.0,5.0
random,success_rate_auc,4,3.5,3.5,1.0,6.0
reliability_gated,success_rate_auc,4,4.5,4.0,4.0,6.0
tabular,success_rate_auc,4,1.75,2.0,1.0,2.0
count_gated_tau_20,mean_return,4,2.625,2.25,1.0,5.0
dqn,mean_return,4,4.5,5.0,3.0,5.0
fixed_hybrid,mean_return,4,3.75,4.0,3.0,4.0
random,mean_return,4,3.75,4.0,1.0,6.0
reliability_gated,mean_return,4,4.75,5.0,3.0,6.0
tabular,mean_return,4,1.625,1.75,1.0,2.0
